run,fitness,omega,c1,c2
4,94.50131783991172,0.7,1.4,1.4
4,75.75929854140678,0.7,1.4,1.4
4,74.4898142346261,0.7,1.4,1.4
4,74.4898142346261,0.7,1.4,1.4
4,51.63097940754742,0.7,1.4,1.4
4,42.181947487928824,0.7,1.4,1.4
4,39.91538642606903,0.7,1.4,1.4
4,39.91538642606903,0.7,1.4,1.4
4,32.20957962662527,0.7,1.4,1.4
4,32.20957962662527,0.7,1.4,1.4
4,32.20957962662527,0.7,1.4,1.4
4,32.20957962662527,0.7,1.4,1.4
4,32.20957962662527,0.7,1.4,1.4
4,26.72916329813739,0.7,1.4,1.4
4,24.267920064848475,0.7,1.4,1.4
4,21.472261996374904,0.7,1.4,1.4
4,20.368608138087474,0.7,1.4,1.4
4,19.77472131199333,0.7,1.4,1.4
4,16.60830391845915,0.7,1.4,1.4
4,16.60830391845915,0.7,1.4,1.4
4,16.01746699987171,0.7,1.4,1.4
4,14.845845043550334,0.7,1.4,1.4
4,14.843829478465853,0.7,1.4,1.4
4,12.288852612859856,0.7,1.4,1.4
4,11.14777264786104,0.7,1.4,1.4
4,9.962886634209106,0.7,1.4,1.4
4,8.280053898234026,0.7,1.4,1.4
4,8.280053898234026,0.7,1.4,1.4
4,8.280053898234026,0.7,1.4,1.4
4,7.334242778138171,0.7,1.4,1.4
4,6.986343911691181,0.7,1.4,1.4
4,6.564733637210727,0.7,1.4,1.4
4,6.195442878446188,0.7,1.4,1.4
4,5.86848237821467,0.7,1.4,1.4
4,5.521490414706836,0.7,1.4,1.4
4,5.521490414706836,0.7,1.4,1.4
4,5.444067634021726,0.7,1.4,1.4
5,17473340765.73783,0.7,1.4,1.4
5,4556899688.808334,0.7,1.4,1.4
5,2074585994.1796281,0.7,1.4,1.4
5,1703996443.265989,0.7,1.4,1.4
5,1703996443.265989,0.7,1.4,1.4
5,317356237.63895327,0.7,1.4,1.4
5,317356237.63895327,0.7,1.4,1.4
5,317356237.63895327,0.7,1.4,1.4
5,317356237.63895327,0.7,1.4,1.4
5,317356237.63895327,0.7,1.4,1.4
5,276734007.4812032,0.7,1.4,1.4
5,197453143.20488936,0.7,1.4,1.4
5,169529599.97939268,0.7,1.4,1.4
5,110183874.32529643,0.7,1.4,1.4
5,75400850.08778068,0.7,1.4,1.4
5,62667969.03177261,0.7,1.4,1.4
5,38948605.636543445,0.7,1.4,1.4
5,38948605.636543445,0.7,1.4,1.4
5,10277404.576043464,0.7,1.4,1.4
5,5930125.00075734,0.7,1.4,1.4
5,2289174.3473401517,0.7,1.4,1.4
5,2289174.3473401517,0.7,1.4,1.4
5,2289174.3473401517,0.7,1.4,1.4
5,2289174.3473401517,0.7,1.4,1.4
5,2289174.3473401517,0.7,1.4,1.4
5,2289174.3473401517,0.7,1.4,1.4
5,1782680.3370266173,0.7,1.4,1.4
5,1040682.4488130716,0.7,1.4,1.4
5,1040682.4488130716,0.7,1.4,1.4
5,1040682.4488130716,0.7,1.4,1.4
5,403931.99726425926,0.7,1.4,1.4
5,126916.76380790788,0.7,1.4,1.4
5,86543.78941749345,0.7,1.4,1.4
5,86543.78941749345,0.7,1.4,1.4
5,61317.379181281816,0.7,1.4,1.4
5,21776.715122951136,0.7,1.4,1.4
5,21776.715122951136,0.7,1.4,1.4
5,8860.899802803386,0.7,1.4,1.4
